Year,Total,Financial assets,Non-financial assets
2004-05,60144,24180,35964
2005-06,68057,27659,40398
2006-07,85957,34382,51574
2007-08,103852,39160,64692
2008-09,120920,51281,69639
2009-10,125136,55489,69647
2010-11,130935,56779,74156
2011-12,135931,59641,76290
2012-13,138855,60950,77905
2013-14,142901,61281,81620
