Item,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
Deposits held,338,369,286,326,391,683,384,528,362,522
Advances received,549,536,523,510,496,482,468,454,439,438
Borrowing,1315,1026,996,1046,1847,4315,5577,8871,11104,11362
Unfunded superannuation liability and other employee entitlements,7023,7009,7133,7644,9173,9562,9838,11758,11072,11061
Other provisions,0,0,0,0,0,0,12,0,2,20
Other non-equity liabilities,701,1171,1297,1429,1553,1903,2109,2488,2535,2321
